user_id,subscription_type,final_journey
152882,Monthly,Career tracks-Courses-Sign up-Log in-Homepage-Pricing-Checkout-Coupon-Coupon
153570,Annual,Sign up-Coupon
156771,Annual,Coupon-Coupon
156880,Monthly,Courses-Pricing-Homepage-Career tracks-Homepage-Log in-Other-Resources center-Log in-Other-Log in-Log in-Homepage-Sign up-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Other-Pricing-Log in-Checkout-Log in-Other-Checkout-Pricing-Checkout-Pricing-Checkout-Checkout-Checkout-Other-Checkout-Checkout-Checkout-Checkout
157143,Annual,Homepage-Upcoming courses-Log in-Sign up-Pricing-Checkout-Pricing-Log in-Coupon-Homepage-Career tracks-Courses-Courses-Log in-Log in-Courses-Log in-Upcoming courses-Resources center-Career track certificate-Career tracks-Pricing-Checkout-Log in-Pricing-Other-Pricing-Resources center-Other-Log in-Pricing-Checkout-Log in-Pricing-Checkout-Pricing-Checkout-Pricing-Log in-Log in-Other-Log in-Log in-Homepage-Pricing-Pricing-Checkout-Pricing-Checkout-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Log in-Other-Pricing-Log in-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
158113,Monthly,Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
160910,Annual,Homepage-Course certificate-Courses-Resources center-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Courses-Sign up-Homepage-Log in-Coupon-Coupon
161329,Annual,Homepage-Resources center-Other-Pricing-Sign up-Courses-Career track certificate-Career tracks-Career tracks-Pricing-Log in-Homepage-Courses-Homepage-Log in-Checkout-Checkout
161523,Monthly,Homepage-Pricing-Sign up-Checkout
161548,Annual,Other-Courses-Sign up-Log in-Coupon
162545,Monthly,Checkout-Courses-Career track certificate-Career tracks-Career tracks-Homepage-Career track certificate-Career tracks-Course certificate-Courses-Courses-Log in-Courses-Log in-Courses-Log in-Courses-Log in-Checkout
171697,Annual,Coupon
